,start,beta,natom,nmol,energy
535,200,0,100,32,422.40626485851624
536,300,0,10,10,17.230817369218354
537,800,0,10,32,68.10392906183156
538,700,25,80,32,170.60941206163312
539,900,0,20,64,51.57599731659527
540,700,0,100,64,476.9305360124042
541,800,0,80,64,344.64328163011294
542,100,0,50,32,229.550195827943
543,700,0,100,32,416.4660950003662
544,300,0,100,10,446.5304602427308
545,600,0,30,64,82.92594104335151
546,900,0,10,32,50.01220256357678
547,100,0,40,10,152.1821881282114
548,500,25,70,32,158.67278684595513
